ID,Year of death,Age,Gender,Province,Vehicle
9622978,2561,34,1,Nakhon Si Thammarat, Motorcycle
9625659,2561,39,1,Nakhon Si Thammarat, Motorcycle
9622961,2561,44,1,Nakhon Si Thammarat, Motorcycle
9625788,2561,46,1,Nakhon Si Thammarat, Motorcycle
9622946,2561,46,1,Nakhon Si Thammarat, Motorcycle
9623014,2561,46,1,Nakhon Si Thammarat, Motorcycle
9626816,2561,48,1,Nakhon Si Thammarat, Motorcycle
9622948,2561,53,1,Nakhon Si Thammarat, Motorcycle
9623005,2561,54,1,Nakhon Si Thammarat, Motorcycle
9622949,2561,55,1,Nakhon Si Thammarat, Motorcycle
9622965,2561,63,1,Nakhon Si Thammarat, Motorcycle
9622982,2561,69,1,Nakhon Si Thammarat, Motorcycle
9626061,2561,19,1,Krabi, Motorcycle
9623776,2561,27,1,Krabi, Motorcycle
9623766,2561,49,1,Krabi, Motorcycle
9627301,2561,52,1,Krabi,Van
9623760,2561,55,1,Krabi, Motorcycle
9625549,2561,64,1,Phang Nga,Car
9623185,2561,29,1,Phuket, Motorcycle
9623192,2561,43,1,Phuket, Motorcycle
9623198,2561,47,1,Phuket, Motorcycle
10114783,2562,29,2,Nakhon Si Thammarat, Motorcycle
10116736,2562,33,2,Nakhon Si Thammarat,Car
10116737,2562,46,2,Nakhon Si Thammarat,Car
10117670,2562,66,2,Nakhon Si Thammarat, Motorcycle
10114384,2562,60,2,Nakhon Si Thammarat, Motorcycle
10116219,2562,17,2,Nakhon Si Thammarat, Motorcycle
10114788,2562,49,2,Nakhon Si Thammarat, Motorcycle
10114386,2562,14,2,Nakhon Si Thammarat, Motorcycle
10115962,2562,39,2,Krabi,Car
10117674,2562,57,2,Krabi, Motorcycle
10114392,2562,38,2,Krabi, Motorcycle
10114796,2562,60,2,Krabi, Motorcycle
10115204,2562,23,2,Krabi,Car
10117193,2562,62,2,Krabi, Motorcycle
10115664,2562,54,2,Phang Nga, Motorcycle
10116232,2562,28,2,Phuket, Motorcycle
10115965,2562,45,2,Phuket,Car
10114807,2562,53,2,Phuket, Motorcycle
10115973,2562,16,2,Surat Thani, Motorcycle
10113791,2562,42,2,Chumphon, Motorcycle
10114824,2562,37,2,Chumphon, Motorcycle
10114821,2562,65,2,Chumphon,Car
10117213,2562,35,2,Songkhla,Car
10118344,2562,44,2,Songkhla,Car
10118342,2562,30,2,Songkhla, Motorcycle
10117708,2562,46,2,Songkhla,Car
10118231,2562,54,2,Songkhla,Car
10116256,2562,61,2,Songkhla,Van
10116269,2562,28,2,Trang, Motorcycle
10116273,2562,35,2,Trang, Motorcycle
10118235,2562,29,2,Trang, Motorcycle
10114466,2562,54,2,Trang, Motorcycle
10117221,2562,58,2,Trang, Motorcycle
10117724,2562,62,2,Trang, Motorcycle
10114849,2562,34,2,Phatthalung, Motorcycle
10115330,2562,42,2,Phatthalung, Motorcycle
10115329,2562,48,2,Phatthalung, Motorcycle
10117729,2562,20,2,Phatthalung,Car
10114468,2562,51,2,Phatthalung, Motorcycle
10113831,2562,63,2,Pattani, Motorcycle
10116041,2562,34,2,Yala,Car
10115349,2562,36,2,Narathiwat,Car
10118243,2562,38,2,Narathiwat, Motorcycle
10113856,2562,63,2,Narathiwat, Motorcycle
9815337,2560,32,2,Nakhon Si Thammarat,Car
9815359,2560,22,2,Nakhon Si Thammarat,Car
9815308,2560,32,2,Nakhon Si Thammarat, Motorcycle
9815285,2560,63,2,Nakhon Si Thammarat, Motorcycle
9815313,2560,27,2,Nakhon Si Thammarat,Car
9815279,2560,53,2,Nakhon Si Thammarat, Motorcycle
9815373,2560,57,2,Nakhon Si Thammarat,Van
9815328,2560,56,2,Nakhon Si Thammarat, Motorcycle
9815325,2560,10,2,Nakhon Si Thammarat,Car
9815307,2560,16,2,Nakhon Si Thammarat,Car
9815327,2560,18,2,Nakhon Si Thammarat, Motorcycle
9815427,2560,18,2,Nakhon Si Thammarat,Car
9815365,2560,45,2,Nakhon Si Thammarat,Car
9815361,2560,69,2,Nakhon Si Thammarat, Motorcycle
9815454,2560,32,2,Krabi,Car
9815477,2560,34,2,Krabi, Motorcycle
9815459,2560,49,2,Krabi, Motorcycle
9815496,2560,53,2,Phang Nga, Motorcycle
9815504,2560,57,2,Phang Nga,Car
9815497,2560,70,2,Phang Nga,Van
9815532,2560,18,2,Phuket, Motorcycle
9815538,2560,27,2,Phuket, Motorcycle
9815522,2560,28,2,Phuket, Motorcycle
9815516,2560,23,2,Phuket, Motorcycle
9815540,2560,29,2,Phuket, Motorcycle
9815525,2560,39,2,Phuket,Car
9815545,2560,45,2,Phuket, Motorcycle
9815520,2560,27,2,Phuket, Motorcycle
9815549,2560,22,2,Phuket, Motorcycle
9815687,2560,67,2,Surat Thani,Car
9815724,2560,26,2,Surat Thani, Motorcycle
9815731,2560,37,2,Surat Thani, Motorcycle
9815714,2560,53,2,Surat Thani,Van
9815702,2560,28,2,Surat Thani,Van
9815671,2560,48,2,Surat Thani,Car
9815586,2560,52,2,Surat Thani, Motorcycle
9815660,2560,52,2,Surat Thani,Car
9815575,2560,52,2,Surat Thani,Van
9815717,2560,55,2,Surat Thani,Car
9815716,2560,57,2,Surat Thani,Car
9815667,2560,62,2,Surat Thani,Van
9815595,2560,39,2,Surat Thani,Car
9815587,2560,56,2,Surat Thani,Van
9815598,2560,16,2,Surat Thani,Car
9815727,2560,23,2,Surat Thani, Motorcycle
9815591,2560,36,2,Surat Thani,Car
9815695,2560,45,2,Surat Thani, Motorcycle
9815743,2560,61,2,Surat Thani, Motorcycle
9815603,2560,16,2,Surat Thani,Car
9815643,2560,27,2,Surat Thani,Car
9815759,2560,60,2,Ranong, Motorcycle
9815787,2560,18,2,Chumphon, Motorcycle
9815778,2560,60,2,Chumphon,Car
9815816,2560,41,2,Chumphon, Motorcycle
9815832,2560,52,2,Chumphon, Motorcycle
9815826,2560,57,2,Chumphon, Motorcycle
9816017,2560,14,2,Songkhla, Motorcycle
9815857,2560,15,2,Songkhla, Motorcycle
9815938,2560,17,2,Songkhla, Motorcycle
9815865,2560,35,2,Songkhla, Motorcycle
9815946,2560,58,2,Songkhla,Car
9815851,2560,21,2,Songkhla, Motorcycle
9815962,2560,27,2,Songkhla, Motorcycle
9815869,2560,31,2,Songkhla, Motorcycle
9815843,2560,33,2,Songkhla, Motorcycle
9815917,2560,35,2,Songkhla, Motorcycle
9815849,2560,37,2,Songkhla, Motorcycle
9815854,2560,46,2,Songkhla, Motorcycle
9815981,2560,49,2,Songkhla, Motorcycle
9815930,2560,35,2,Songkhla, Motorcycle
9816000,2560,46,2,Songkhla, Motorcycle
9815850,2560,51,2,Songkhla, Motorcycle
